Title,Type,Platform,Status,Due Date,Owner,SEO Keywords,Word Count,CTA,Notes
What is Job Order Contracting? A Complete Guide for Contractors,Blog,Website,Ready to Publish,2026-02-10,Doug,"what is job order contracting, JOC contracts, construction estimating",1710,Download NYC HHC Cheat Sheet,Target keyword: "what is job order contracting" (1900 searches/mo)
NYC HHC Fire Protection Estimating: The Complete Guide,Blog,Website,Ready to Publish,2026-02-12,Doug,"NYC HHC fire protection estimating, HHC JOC, fire suppression estimating",2132,Try JOCstudio Free,Long-tail keyword for Fire Protection contractors
How to Win More JOC Contracts,Blog,Website,Planned,2026-02-17,Doug,"win JOC contracts, JOC bidding strategy",,Download Proposal Template,
JOC vs Traditional Contracting: Which is Better?,Blog,Website,Planned,2026-02-20,Doug,"JOC vs traditional contracting",,Schedule Demo,
Understanding UPB Line Items,Blog,Website,Idea,,Doug,"UPB line items, unit price book",,,
JOCstudio Demo: From PDF to Proposal in 10 Minutes,Video,YouTube,Script Ready,2026-02-15,Doug,"JOCstudio demo, JOC software",,Subscribe + Free Trial,8-12 minute screen recording
5 JOC Estimating Mistakes Costing You Bids,Video,YouTube,Planned,2026-02-22,Doug,"JOC estimating mistakes",,Download Guide,
How to Price Coefficients Correctly,Video,YouTube,Idea,,Doug,"JOC coefficients, NYC HHC pricing",,,
Week 1: Founder Origin Story,LinkedIn,LinkedIn,Template Ready,2026-02-10,Doug,,,Reply with your story,Personal founder journey post
Week 1: The #1 JOC Proposal Mistake,LinkedIn,LinkedIn,Template Ready,2026-02-11,Doug,,,Comment below,Educational tip post
Week 1: Building in Public Update,LinkedIn,LinkedIn,Template Ready,2026-02-13,Doug,,,Follow for updates,Behind-the-scenes transparency
Week 1: NYC HHC Market Insight,LinkedIn,LinkedIn,Template Ready,2026-02-14,Doug,,,Are you bidding these?,Industry data post
Week 1: Product Feature Launch,LinkedIn,LinkedIn,Template Ready,2026-02-15,Doug,,,Try it free,Soft product CTA
NYC HHC Fire Protection UPB Quick Reference,Lead Magnet,PDF,Ready to Publish,2026-02-10,Doug,,,Sign up for free trial,2-page printable cheat sheet
JOC Proposal Template Excel,Lead Magnet,Excel,Planned,2026-02-20,Doug,,,Download template,Pre-formatted for NYC HHC
ROI Calculator,Lead Magnet,Interactive,Planned,2026-02-25,Doug,,,Calculate your savings,Web-based calculator
